date,team_1,team_2,venue,toss_winner,toss_decision,winner,target
2010-05-22,New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,New Zealand,bat,New Zealand,1
2010-05-23,New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,New Zealand,bat,Sri Lanka,0
2010-06-12,Zimbabwe,India,Harare Sports Club,India,field,India,0
2010-06-13,Zimbabwe,India,Harare Sports Club,India,field,India,0
2010-07-05,Australia,Pakistan,Edgbaston,Pakistan,bat,Pakistan,0
2010-07-06,Australia,Pakistan,Edgbaston,Pakistan,bat,Pakistan,0
2010-09-05,England,Pakistan,Sophia Gardens,England,field,England,1
2010-09-07,England,Pakistan,Sophia Gardens,Pakistan,bat,England,1
2010-10-08,South Africa,Zimbabwe,OUTsurance Oval,Zimbabwe,bat,South Africa,1
2010-10-10,South Africa,Zimbabwe,De Beers Diamond Oval,South Africa,bat,South Africa,1
2010-10-26,Pakistan,South Africa,Sheikh Zayed Stadium,Pakistan,bat,South Africa,0
2010-10-27,Pakistan,South Africa,Sheikh Zayed Stadium,Pakistan,bat,South Africa,0
2010-10-31,Australia,Sri Lanka,Western Australia Cricket Association Ground,Australia,bat,Sri Lanka,0
2010-12-26,New Zealand,Pakistan,Eden Park,New Zealand,field,New Zealand,1
2010-12-28,New Zealand,Pakistan,Seddon Park,Pakistan,field,New Zealand,1
2010-12-30,New Zealand,Pakistan,AMI Stadium,Pakistan,bat,Pakistan,0
2011-01-09,South Africa,India,Moses Mabhida Stadium,India,bat,India,0
2011-01-12,Australia,England,Adelaide Oval,Australia,bat,England,0
2011-01-14,Australia,England,Melbourne Cricket Ground,Australia,bat,Australia,1
2011-04-21,West Indies,Pakistan,"Beausejour Stadium, Gros Islet",West Indies,bat,West Indies,1
2011-06-04,West Indies,India,"Queen's Park Oval, Port of Spain",West Indies,field,India,0
2011-06-25,England,Sri Lanka,County Ground,Sri Lanka,field,Sri Lanka,0
2011-08-06,Sri Lanka,Australia,Pallekele International Cricket Stadium,Australia,field,Sri Lanka,1
2011-08-08,Sri Lanka,Australia,Pallekele International Cricket Stadium,Sri Lanka,bat,Sri Lanka,1
2011-08-31,England,India,Old Trafford,India,bat,England,1
2011-09-16,Zimbabwe,Pakistan,Harare Sports Club,Zimbabwe,field,Pakistan,0
2011-09-18,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,bat,Pakistan,0
2011-09-23,England,West Indies,Kennington Oval,England,field,England,1
2011-09-25,England,West Indies,Kennington Oval,England,field,West Indies,0
2011-10-11,Bangladesh,West Indies,Shere Bangla National Stadium,Bangladesh,field,Bangladesh,1
2011-10-13,South Africa,Australia,Newlands,South Africa,bat,Australia,0
2011-10-15,Zimbabwe,New Zealand,Harare Sports Club,New Zealand,field,New Zealand,0
2011-10-16,South Africa,Australia,New Wanderers Stadium,Australia,bat,South Africa,1
2011-10-17,Zimbabwe,New Zealand,Harare Sports Club,Zimbabwe,field,New Zealand,0
2011-10-29,India,England,Eden Gardens,India,bat,England,0
2011-11-25,Pakistan,Sri Lanka,Sheikh Zayed Stadium,Sri Lanka,bat,Pakistan,1
2011-11-29,Bangladesh,Pakistan,Shere Bangla National Stadium,Pakistan,bat,Pakistan,0
2012-02-01,Australia,India,Stadium Australia,India,field,Australia,1
2012-02-03,Australia,India,Melbourne Cricket Ground,Australia,bat,India,0
2012-02-11,New Zealand,Zimbabwe,Eden Park,Zimbabwe,bat,New Zealand,1
2012-02-14,New Zealand,Zimbabwe,Seddon Park,Zimbabwe,bat,New Zealand,1
2012-02-17,New Zealand,South Africa,Westpac Stadium,New Zealand,field,New Zealand,1
2012-02-19,New Zealand,South Africa,Seddon Park,South Africa,field,South Africa,0
2012-02-22,New Zealand,South Africa,Eden Park,New Zealand,field,South Africa,0
2012-02-22,Kenya,Ireland,Mombasa Sports Club Ground,Ireland,field,Ireland,0
