date,team_1,team_2,venue,toss_winner,toss_decision,winner,target
2023-04-15,Pakistan,New Zealand,"Gaddafi Stadium, Lahore",Pakistan,bat,Pakistan,1
2023-04-17,New Zealand,Pakistan,"Gaddafi Stadium, Lahore",New Zealand,bat,New Zealand,1
2023-04-24,Pakistan,New Zealand,Rawalpindi Cricket Stadium,New Zealand,field,New Zealand,0
2023-05-04,Gibraltar,Portugal,Europa Sports Complex,Gibraltar,bat,Portugal,0
2023-05-04,Portugal,Malta,Europa Sports Complex,Malta,field,Portugal,1
2023-05-05,Gibraltar,Malta,Europa Sports Complex,Gibraltar,bat,Gibraltar,1
2023-05-05,Portugal,Malta,Europa Sports Complex,Portugal,bat,Portugal,1
2023-05-06,Gibraltar,Portugal,Europa Sports Complex,Gibraltar,bat,Portugal,0
2023-05-06,Gibraltar,Malta,Europa Sports Complex,Gibraltar,bat,Gibraltar,1
2023-05-06,Malta,Portugal,Europa Sports Complex,Malta,bat,Portugal,0
2023-05-07,Malta,Gibraltar,Europa Sports Complex,Malta,bat,Malta,1
2023-05-07,Gibraltar,Portugal,Europa Sports Complex,Gibraltar,bat,Portugal,0
2023-05-18,Norway,Denmark,"Svanholm Park, Brondby",Norway,bat,Denmark,0
2023-05-18,Denmark,Finland,"Svanholm Park, Brondby",Denmark,bat,Denmark,1
2023-05-19,Finland,Denmark,"Svanholm Park, Brondby",Finland,bat,Denmark,0
2023-05-19,Denmark,Sweden,"Svanholm Park, Brondby",Sweden,field,Sweden,0
2023-05-20,Finland,Norway,"Solvangs Park, Glostrup",Finland,bat,Norway,0
2023-06-10,Kenya,Uganda,"Gymkhana Club Ground, Nairobi",Kenya,bat,Kenya,1
2023-06-10,Belgium,Germany,Bayer Uerdingen Cricket Ground,Germany,field,Germany,0
2023-06-11,Rwanda,Uganda,"Gymkhana Club Ground, Nairobi",Rwanda,bat,Uganda,0
2023-06-11,Botswana,Kenya,"Gymkhana Club Ground, Nairobi",Botswana,bat,Kenya,0
2023-06-11,Belgium,Germany,Bayer Uerdingen Cricket Ground,Germany,field,Germany,0
2023-06-11,Hungary,Czech Republic,"Scott Page Field, Vinor",Hungary,bat,Czech Republic,0
2023-06-13,Rwanda,Botswana,"Gymkhana Club Ground, Nairobi",Botswana,field,Rwanda,1
2023-06-13,Uganda,Kenya,"Gymkhana Club Ground, Nairobi",Uganda,bat,Uganda,1
2023-06-14,Uganda,Botswana,"Gymkhana Club Ground, Nairobi",Uganda,bat,Uganda,1
2023-06-14,Rwanda,Kenya,"Gymkhana Club Ground, Nairobi",Rwanda,bat,Kenya,0
2023-06-15,Rwanda,Uganda,"Gymkhana Club Ground, Nairobi",Uganda,field,Uganda,0
2023-06-15,Botswana,Kenya,"Gymkhana Club Ground, Nairobi",Botswana,bat,Botswana,1
2023-06-17,Botswana,Uganda,"Gymkhana Club Ground, Nairobi",Botswana,bat,Uganda,0
2023-06-17,Rwanda,Kenya,"Gymkhana Club Ground, Nairobi",Rwanda,bat,Kenya,0
2023-06-18,Botswana,Rwanda,"Gymkhana Club Ground, Nairobi",Botswana,bat,Rwanda,0
2023-06-18,Kenya,Uganda,"Gymkhana Club Ground, Nairobi",Kenya,bat,Uganda,0
2023-06-19,Botswana,Kenya,"Gymkhana Club Ground, Nairobi",Botswana,bat,Kenya,0
2023-06-19,Uganda,Rwanda,"Gymkhana Club Ground, Nairobi",Uganda,bat,Uganda,1
2023-06-21,Uganda,Kenya,"Gymkhana Club Ground, Nairobi",Uganda,bat,Uganda,1
2023-06-23,Bulgaria,Serbia,"National Sports Academy, Sofia",Serbia,field,Serbia,0
2023-06-23,Croatia,Bulgaria,"National Sports Academy, Sofia",Bulgaria,field,Bulgaria,0
2023-06-23,Serbia,Turkey,"National Sports Academy, Sofia",Serbia,bat,Serbia,1
2023-06-24,Croatia,Turkey,"National Sports Academy, Sofia",Croatia,bat,Turkey,0
2023-06-24,Croatia,Serbia,"National Sports Academy, Sofia",Croatia,bat,Serbia,0
2023-06-24,Turkey,Bulgaria,"National Sports Academy, Sofia",Bulgaria,field,Bulgaria,0
2023-06-29,Austria,Germany,"Sportpark Het Schootsveld, Deventer",Germany,field,Germany,0
2023-06-30,Austria,Germany,"Sportpark Het Schootsveld, Deventer",Germany,field,Germany,0
2023-07-10,France,Malta,Marsa Sports Club,Malta,field,France,1
2023-07-10,Malta,France,Marsa Sports Club,Malta,bat,Malta,1
2023-07-11,Malta,Luxembourg,Marsa Sports Club,Luxembourg,field,Malta,1
2023-07-11,France,Luxembourg,Marsa Sports Club,France,bat,France,1
2023-07-12,France,Malta,Marsa Sports Club,France,bat,France,1
2023-07-12,Luxembourg,France,Marsa Sports Club,Luxembourg,bat,France,0
2023-07-12,Malta,Luxembourg,Marsa Sports Club,Malta,bat,Luxembourg,0
2023-07-13,Luxembourg,Malta,Marsa Sports Club,Malta,field,Malta,0
2023-07-13,Romania,Switzerland,Marsa Sports Club,Switzerland,field,Switzerland,0
2023-07-13,France,Romania,Marsa Sports Club,France,bat,France,1
2023-07-14,Luxembourg,Switzerland,Marsa Sports Club,Switzerland,field,Switzerland,0
2023-07-14,Malta,Romania,Marsa Sports Club,Malta,bat,Malta,1
2023-07-14,France,Switzerland,Marsa Sports Club,France,bat,Switzerland,0
2023-07-15,Romania,Luxembourg,Marsa Sports Club,Romania,bat,Luxembourg,0
2023-07-15,Malta,Switzerland,Marsa Sports Club,Switzerland,field,Switzerland,0
2023-07-15,France,Luxembourg,Marsa Sports Club,France,bat,Luxembourg,0
2023-07-16,Malta,Switzerland,Marsa Sports Club,Malta,bat,Switzerland,0
2023-07-16,Luxembourg,Romania,Marsa Sports Club,Romania,field,Romania,0
2023-07-16,France,Malta,Marsa Sports Club,France,bat,Malta,0
2023-07-20,Austria,Jersey,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Jersey,field,Jersey,0
2023-07-20,Ireland,Italy,"Goldenacre, Edinburgh",Italy,field,Ireland,1
2023-07-20,Scotland,Germany,"Goldenacre, Edinburgh",Germany,field,Scotland,1
2023-07-21,Denmark,Ireland,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Denmark,bat,Ireland,0
2023-07-21,Austria,Germany,"Goldenacre, Edinburgh",Austria,bat,Germany,0
2023-07-21,Scotland,Jersey,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Jersey,field,Scotland,1
2023-07-22,Japan,Philippines,"Amini Park, Port Moresby",Japan,bat,Japan,1
2023-07-22,Vanuatu,Papua New Guinea,"Amini Park, Port Moresby",Vanuatu,bat,Papua New Guinea,0
2023-07-23,Japan,Vanuatu,"Amini Park, Port Moresby",Vanuatu,field,Japan,1
2023-07-23,Denmark,Germany,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Denmark,bat,Germany,0
2023-07-23,Ireland,Austria,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Austria,field,Ireland,1
2023-07-23,Italy,Jersey,"Goldenacre, Edinburgh",Jersey,field,Italy,1
2023-07-24,Scotland,Italy,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Italy,field,Scotland,1
2023-07-24,Austria,Denmark,"Goldenacre, Edinburgh",Denmark,field,Denmark,0
2023-07-24,Jersey,Ireland,"Goldenacre, Edinburgh",Ireland,field,Ireland,0
2023-07-25,Italy,Denmark,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Denmark,field,Italy,1
2023-07-25,Scotland,Austria,"Goldenacre, Edinburgh",Austria,field,Scotland,1
2023-07-25,Jersey,Germany,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Germany,field,Jersey,1
2023-07-25,Vanuatu,Philippines,"Amini Park, Port Moresby",Vanuatu,bat,Philippines,0
2023-07-25,Japan,Papua New Guinea,"Amini Park, Port Moresby",Japan,bat,Papua New Guinea,0
2023-07-26,Bhutan,Myanmar,"Bayuemas Oval, Kuala Lumpur",Bhutan,bat,Bhutan,1
2023-07-26,China,Malaysia,"Bayuemas Oval, Kuala Lumpur",China,bat,Malaysia,0
2023-07-26,Japan,Philippines,"Amini Park, Port Moresby",Japan,bat,Japan,1
2023-07-26,Papua New Guinea,Vanuatu,"Amini Park, Port Moresby",Papua New Guinea,bat,Papua New Guinea,1
2023-07-27,Scotland,Denmark,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Denmark,field,Scotland,1
2023-07-27,China,Thailand,"Bayuemas Oval, Kuala Lumpur",Thailand,field,Thailand,0
2023-07-27,Malaysia,Bhutan,"Bayuemas Oval, Kuala Lumpur",Bhutan,field,Malaysia,1
2023-07-28,Germany,Italy,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Italy,field,Italy,0
2023-07-28,Jersey,Denmark,"Goldenacre, Edinburgh",Denmark,field,Jersey,1
2023-07-28,Scotland,Ireland,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Ireland,field,Scotland,1
2023-07-28,Japan,Vanuatu,"Amini Park, Port Moresby",Vanuatu,field,Vanuatu,0
2023-07-28,Papua New Guinea,Philippines,"Amini Park, Port Moresby",Philippines,field,Papua New Guinea,1
2023-07-28,Thailand,Myanmar,"Bayuemas Oval, Kuala Lumpur",Myanmar,field,Thailand,1
2023-07-29,Japan,Papua New Guinea,"Amini Park, Port Moresby",Japan,bat,Papua New Guinea,0
2023-07-29,Philippines,Vanuatu,"Amini Park, Port Moresby",Philippines,bat,Vanuatu,0
2023-07-30,Bhutan,China,"Bayuemas Oval, Kuala Lumpur",Bhutan,bat,Bhutan,1
2023-07-30,Malaysia,Myanmar,"Bayuemas Oval, Kuala Lumpur",Myanmar,field,Malaysia,1
2023-07-31,Bhutan,Thailand,"Bayuemas Oval, Kuala Lumpur",Thailand,field,Thailand,0
2023-07-31,Myanmar,China,"Bayuemas Oval, Kuala Lumpur",China,field,China,0
2023-08-01,Thailand,Malaysia,"Bayuemas Oval, Kuala Lumpur",Malaysia,field,Malaysia,0
2023-08-03,West Indies,India,"Brian Lara Stadium, Tarouba, Trinidad",West Indies,bat,West Indies,1
2023-08-05,Hungary,Croatia,"GB Oval, Szodliget",Hungary,bat,Hungary,1
2023-08-06,India,West Indies,"Providence Stadium, Guyana",India,bat,West Indies,0
2023-08-06,Croatia,Hungary,"GB Oval, Szodliget",Croatia,bat,Hungary,0
2023-08-08,West Indies,India,"Providence Stadium, Guyana",West Indies,bat,India,0
2023-08-12,West Indies,India,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",West Indies,bat,India,0
2023-08-13,India,West Indies,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",India,bat,West Indies,0
2023-08-14,Germany,Guernsey,"Sportpark Het Schootsveld, Deventer",Germany,bat,Guernsey,0
2023-08-14,Guernsey,Germany,"Sportpark Het Schootsveld, Deventer",Germany,field,Germany,0
2023-08-15,Guernsey,Germany,"Sportpark Het Schootsveld, Deventer",Guernsey,bat,Guernsey,1
2023-08-17,New Zealand,United Arab Emirates,Dubai International Cricket Stadium,United Arab Emirates,field,New Zealand,1
2023-08-18,Ireland,India,"Malahide, Dublin",India,field,India,0
2023-08-18,Romania,Malta,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,Malta,0
2023-08-19,New Zealand,United Arab Emirates,Dubai International Cricket Stadium,United Arab Emirates,field,United Arab Emirates,0
2023-08-19,Romania,Malta,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,Malta,0
2023-08-19,Malta,Romania,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,field,Romania,0
2023-08-20,Tanzania,Uganda,"Gahanga International Cricket Stadium, Rwanda",Tanzania,bat,Uganda,0
2023-08-20,Uganda,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Uganda,bat,Uganda,1
2023-08-20,Romania,Malta,"Moara Vlasiei Cricket Ground, Ilfov County",Malta,field,Romania,1
2023-08-20,India,Ireland,"Malahide, Dublin",Ireland,field,India,1
2023-08-20,New Zealand,United Arab Emirates,Dubai International Cricket Stadium,United Arab Emirates,field,New Zealand,1
2023-08-20,Malta,Romania,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,field,Romania,0
2023-08-21,Uganda,Tanzania,"Gahanga International Cricket Stadium, Rwanda",Uganda,bat,Tanzania,0
2023-08-22,Uganda,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,Uganda,1
2023-08-22,Rwanda,Tanzania,"Gahanga International Cricket Stadium, Rwanda",Tanzania,field,Tanzania,0
2023-08-24,Uganda,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,Uganda,1
2023-08-24,Uganda,Tanzania,"Gahanga International Cricket Stadium, Rwanda",Tanzania,field,Uganda,1
2023-08-25,Rwanda,Tanzania,"Gahanga International Cricket Stadium, Rwanda",Tanzania,field,Tanzania,0
2023-08-25,Uganda,Tanzania,"Gahanga International Cricket Stadium, Rwanda",Uganda,bat,Uganda,1
2023-08-27,Rwanda,Uganda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,bat,Uganda,0
2023-08-27,Tanzania,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,Tanzania,1
2023-08-28,Rwanda,Uganda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,bat,Uganda,0
2023-08-28,Uganda,Tanzania,"Gahanga International Cricket Stadium, Rwanda",Uganda,bat,Uganda,1
2023-08-30,New Zealand,England,"Riverside Ground, Chester-le-Street",England,field,England,0
2023-08-30,Australia,South Africa,"Kingsmead, Durban",South Africa,field,Australia,1
2023-08-30,Uganda,Tanzania,"Gahanga International Cricket Stadium, Rwanda",Tanzania,field,Uganda,1
2023-08-30,Tanzania,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,Tanzania,1
2023-08-31,Rwanda,Uganda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,bat,Uganda,0
2023-08-31,Tanzania,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Tanzania,bat,Tanzania,1
2023-09-01,England,New Zealand,"Old Trafford, Manchester",England,bat,England,1
2023-09-01,South Africa,Australia,"Kingsmead, Durban",Australia,field,Australia,0
2023-09-03,South Africa,Australia,"Kingsmead, Durban",South Africa,bat,Australia,0
2023-09-03,New Zealand,England,"Edgbaston, Birmingham",New Zealand,bat,New Zealand,1
2023-09-05,England,New Zealand,"Trent Bridge, Nottingham",England,bat,New Zealand,0
2023-09-15,Qatar,Bahrain,"West End Park International Cricket Stadium, Doha",Bahrain,field,Qatar,1
2023-09-15,Saudi Arabia,Kuwait,"West End Park International Cricket Stadium, Doha",Saudi Arabia,bat,Kuwait,0
2023-09-16,Bahrain,Kuwait,"West End Park International Cricket Stadium, Doha",Kuwait,field,Kuwait,0
2023-09-18,Qatar,Kuwait,"West End Park International Cricket Stadium, Doha",Kuwait,field,Qatar,1
2023-09-18,Saudi Arabia,Bahrain,"West End Park International Cricket Stadium, Doha",Saudi Arabia,bat,Bahrain,0
2023-09-19,Bahrain,Oman,"West End Park International Cricket Stadium, Doha",Oman,field,Bahrain,1
2023-09-19,Malaysia,Hong Kong,"Bayuemas Oval, Kuala Lumpur",Hong Kong,field,Malaysia,1
2023-09-20,United Arab Emirates,Qatar,"West End Park International Cricket Stadium, Doha",United Arab Emirates,bat,United Arab Emirates,1
2023-09-20,Malaysia,Papua New Guinea,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Papua New Guinea,0
2023-09-22,Oman,Kuwait,"West End Park International Cricket Stadium, Doha",Oman,bat,Oman,1
2023-09-22,Malaysia,Hong Kong,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Malaysia,1
2023-09-22,Bahrain,United Arab Emirates,"West End Park International Cricket Stadium, Doha",Bahrain,bat,Bahrain,1
2023-09-23,Malaysia,Papua New Guinea,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Papua New Guinea,0
2023-09-23,United Arab Emirates,Oman,"West End Park International Cricket Stadium, Doha",United Arab Emirates,bat,Oman,0
2023-09-24,Hong Kong,Papua New Guinea,"Bayuemas Oval, Kuala Lumpur",Papua New Guinea,field,Papua New Guinea,0
2023-09-27,Nepal,Mongolia,Zhejiang University of Technology Cricket Field,Mongolia,field,Nepal,1
2023-09-28,Qatar,Kuwait,"West End Park International Cricket Stadium, Doha",Kuwait,field,Kuwait,0
2023-09-29,Maldives,Kuwait,"West End Park International Cricket Stadium, Doha",Kuwait,field,Kuwait,0
2023-09-30,Estonia,Gibraltar,Europa Sports Complex,Gibraltar,field,Gibraltar,0
2023-09-30,Gibraltar,Estonia,Europa Sports Complex,Estonia,field,Estonia,0
2023-09-30,Bermuda,Canada,"White Hill Field, Sandys Parish",Canada,field,Bermuda,1
2023-09-30,Panama,Cayman Islands,"White Hill Field, Sandys Parish",Panama,bat,Cayman Islands,0
2023-10-01,Canada,Cayman Islands,"White Hill Field, Sandys Parish",Canada,bat,Canada,1
2023-10-01,Panama,Bermuda,"White Hill Field, Sandys Parish",Panama,bat,Bermuda,0
2023-10-01,Kuwait,Saudi Arabia,"West End Park International Cricket Stadium, Doha",Kuwait,bat,Saudi Arabia,0
2023-10-01,Maldives,Qatar,"West End Park International Cricket Stadium, Doha",Qatar,field,Qatar,0
2023-10-02,Qatar,Kuwait,"West End Park International Cricket Stadium, Doha",Kuwait,field,Kuwait,0
2023-10-02,Maldives,Saudi Arabia,"West End Park International Cricket Stadium, Doha",Maldives,bat,Saudi Arabia,0
2023-10-03,India,Nepal,Zhejiang University of Technology Cricket Field,India,bat,India,1
2023-10-03,Pakistan,Hong Kong,Zhejiang University of Technology Cricket Field,Hong Kong,field,Pakistan,1
2023-10-03,Canada,Panama,"National Stadium, Hamilton",Canada,bat,Canada,1
2023-10-03,Bermuda,Cayman Islands,"National Stadium, Hamilton",Bermuda,bat,Bermuda,1
2023-10-04,Nigeria,Rwanda,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,bat,Nigeria,1
2023-10-04,Panama,Bermuda,"National Stadium, Hamilton",Bermuda,field,Bermuda,0
2023-10-04,Sierra Leone,Ghana,"Tafawa Balewa Square Cricket Oval, Lagos",Ghana,field,Ghana,0
2023-10-04,Maldives,Kuwait,"West End Park International Cricket Stadium, Doha",Kuwait,field,Kuwait,0
2023-10-04,Bangladesh,Malaysia,Zhejiang University of Technology Cricket Field,Bangladesh,bat,Bangladesh,1
2023-10-04,Canada,Cayman Islands,"National Stadium, Hamilton",Canada,bat,Canada,1
2023-10-05,Qatar,Maldives,"West End Park International Cricket Stadium, Doha",Maldives,field,Qatar,1
2023-10-05,Saudi Arabia,Kuwait,"West End Park International Cricket Stadium, Doha",Kuwait,field,Kuwait,0
2023-10-05,Serbia,Gibraltar,Europa Sports Complex,Gibraltar,field,Gibraltar,0
2023-10-05,Serbia,Gibraltar,Europa Sports Complex,Serbia,bat,Gibraltar,0
2023-10-05,Nigeria,Sierra Leone,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,field,Nigeria,1
2023-10-06,Bangladesh,India,Zhejiang University of Technology Cricket Field,India,field,India,0
2023-10-06,Nigeria,Ghana,"Tafawa Balewa Square Cricket Oval, Lagos",Ghana,field,Nigeria,1
2023-10-06,Rwanda,Sierra Leone,"Tafawa Balewa Square Cricket Oval, Lagos",Rwanda,bat,Rwanda,1
2023-10-07,Rwanda,Nigeria,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,field,Nigeria,0
2023-10-07,Canada,Bermuda,"National Stadium, Hamilton",Canada,bat,Canada,1
2023-10-07,Pakistan,Bangladesh,Zhejiang University of Technology Cricket Field,Bangladesh,field,Bangladesh,0
2023-10-08,Sierra Leone,Nigeria,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,bat,Nigeria,0
2023-10-08,Rwanda,Ghana,"Tafawa Balewa Square Cricket Oval, Lagos",Rwanda,bat,Rwanda,1
2023-10-10,Nigeria,Ghana,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,bat,Nigeria,1
2023-10-10,Sierra Leone,Rwanda,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,bat,Sierra Leone,1
2023-10-11,Ghana,Nigeria,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,field,Nigeria,0
2023-10-11,Sierra Leone,Rwanda,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,bat,Rwanda,0
2023-10-12,Ghana,Rwanda,"Tafawa Balewa Square Cricket Oval, Lagos",Ghana,bat,Rwanda,0
2023-10-12,Nigeria,Sierra Leone,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,field,Nigeria,1
2023-10-14,Rwanda,Nigeria,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,field,Nigeria,0
2023-10-14,Ghana,Sierra Leone,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,field,Ghana,1
2023-10-15,Nigeria,Rwanda,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,bat,Nigeria,1
2023-10-15,Ghana,Sierra Leone,"Tafawa Balewa Square Cricket Oval, Lagos",Ghana,bat,Sierra Leone,0
2023-10-15,Gibraltar,Luxembourg,Europa Sports Complex,Luxembourg,field,Gibraltar,1
2023-10-15,Luxembourg,Gibraltar,Europa Sports Complex,Luxembourg,bat,Luxembourg,1
2023-10-18,United Arab Emirates,Nepal,Mulpani Cricket Ground,Nepal,field,Nepal,0
2023-10-18,Chile,Mexico,St Georges Quilmes,Chile,bat,Mexico,0
2023-10-19,Hong Kong,Nepal,Mulpani Cricket Ground,Nepal,field,Nepal,0
2023-10-19,Mexico,Argentina,St Georges Quilmes,Argentina,field,Argentina,0
2023-10-20,Chile,Argentina,St Georges Quilmes,Chile,bat,Argentina,0
2023-10-21,Nepal,Hong Kong,Mulpani Cricket Ground,Nepal,bat,Nepal,1
2023-10-22,Hong Kong,United Arab Emirates,Mulpani Cricket Ground,United Arab Emirates,field,United Arab Emirates,0
2023-10-23,United Arab Emirates,Nepal,Mulpani Cricket Ground,Nepal,field,Nepal,0
2023-10-24,Zimbabwe,Namibia,"Wanderers Cricket Ground, Windhoek",Zimbabwe,bat,Namibia,0
2023-10-25,Namibia,Zimbabwe,"Wanderers Cricket Ground, Windhoek",Zimbabwe,field,Zimbabwe,0
2023-10-25,Hong Kong,United Arab Emirates,Mulpani Cricket Ground,Hong Kong,bat,Hong Kong,1
2023-10-27,Nepal,United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",United Arab Emirates,field,United Arab Emirates,0
2023-10-27,Namibia,Zimbabwe,"United Cricket Club Ground, Windhoek",Namibia,bat,Zimbabwe,0
2023-10-29,Zimbabwe,Namibia,"United Cricket Club Ground, Windhoek",Zimbabwe,bat,Namibia,0
2023-10-30,Namibia,Zimbabwe,"United Cricket Club Ground, Windhoek",Zimbabwe,field,Namibia,1
2023-10-30,Bahrain,United Arab Emirates,Mulpani Cricket Ground,United Arab Emirates,field,United Arab Emirates,0
2023-10-30,Singapore,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Singapore,bat,Nepal,0
2023-10-30,Oman,Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Oman,bat,Oman,1
2023-10-30,Hong Kong,Kuwait,Mulpani Cricket Ground,Kuwait,field,Hong Kong,1
2023-10-31,Malaysia,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,bat,Nepal,0
2023-10-31,Kuwait,United Arab Emirates,Mulpani Cricket Ground,Kuwait,bat,United Arab Emirates,0
2023-10-31,Oman,Singapore,"Tribhuvan University International Cricket Ground, Kirtipur",Singapore,field,Oman,1
2023-10-31,Bahrain,Hong Kong,Mulpani Cricket Ground,Hong Kong,field,Bahrain,1
2023-11-02,Oman,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,Oman,1
2023-11-02,United Arab Emirates,Hong Kong,Mulpani Cricket Ground,Hong Kong,field,United Arab Emirates,1
2023-11-02,Malaysia,Singapore,"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,bat,Malaysia,1
2023-11-02,Bahrain,Kuwait,Mulpani Cricket Ground,Kuwait,field,Kuwait,0
2023-11-03,Bahrain,Oman,"Tribhuvan University International Cricket Ground, Kirtipur",Bahrain,bat,Oman,0
2023-11-03,United Arab Emirates,Nepal,Mulpani Cricket Ground,United Arab Emirates,bat,Nepal,0
2023-11-20,Cambodia,Indonesia,Udayana Cricket Ground,Cambodia,bat,Indonesia,0
2023-11-20,Cambodia,Indonesia,Udayana Cricket Ground,Cambodia,bat,Indonesia,0
2023-11-21,Indonesia,Cambodia,Udayana Cricket Ground,Cambodia,field,Cambodia,0
2023-11-21,Indonesia,Cambodia,Udayana Cricket Ground,Cambodia,field,Indonesia,1
2023-11-22,Indonesia,Cambodia,Udayana Cricket Ground,Cambodia,field,Cambodia,0
2023-11-22,Zimbabwe,Namibia,"Wanderers Cricket Ground, Windhoek",Namibia,field,Namibia,0
2023-11-22,Kenya,Rwanda,"United Cricket Club Ground, Windhoek",Rwanda,field,Kenya,1
2023-11-22,Tanzania,Uganda,"Wanderers Cricket Ground, Windhoek",Uganda,field,Uganda,0
2023-11-23,Australia,India,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",India,field,India,0
2023-11-23,Nigeria,Kenya,"United Cricket Club Ground, Windhoek",Kenya,field,Kenya,0
2023-11-23,Tanzania,Zimbabwe,"United Cricket Club Ground, Windhoek",Zimbabwe,field,Zimbabwe,0
2023-11-23,Cambodia,Indonesia,Udayana Cricket Ground,Indonesia,field,Indonesia,0
2023-11-24,Uganda,Namibia,"Wanderers Cricket Ground, Windhoek",Namibia,field,Namibia,0
2023-11-25,Kenya,Tanzania,"Wanderers Cricket Ground, Windhoek",Tanzania,field,Kenya,1
2023-11-25,Namibia,Rwanda,"Wanderers Cricket Ground, Windhoek",Rwanda,field,Namibia,1
2023-11-26,Zimbabwe,Uganda,"United Cricket Club Ground, Windhoek",Uganda,field,Uganda,0
2023-11-26,Tanzania,Nigeria,"United Cricket Club Ground, Windhoek",Tanzania,bat,Nigeria,0
2023-11-26,India,Australia,"Greenfield International Stadium, Thiruvananthapuram",Australia,field,India,1
2023-11-27,Nigeria,Uganda,"United Cricket Club Ground, Windhoek",Nigeria,bat,Uganda,0
2023-11-27,Zimbabwe,Rwanda,"Wanderers Cricket Ground, Windhoek",Rwanda,field,Zimbabwe,1
2023-11-27,Kenya,Namibia,"United Cricket Club Ground, Windhoek",Namibia,field,Namibia,0
2023-11-28,India,Australia,"Barsapara Cricket Stadium, Guwahati",Australia,field,Australia,0
2023-11-28,Namibia,Tanzania,"Wanderers Cricket Ground, Windhoek",Tanzania,field,Namibia,1
2023-11-29,Nigeria,Zimbabwe,"United Cricket Club Ground, Windhoek",Nigeria,bat,Zimbabwe,0
2023-11-29,Tanzania,Rwanda,"Wanderers Cricket Ground, Windhoek",Rwanda,field,Tanzania,1
2023-11-29,Uganda,Kenya,"Wanderers Cricket Ground, Windhoek",Uganda,bat,Uganda,1
2023-11-30,Rwanda,Uganda,"Wanderers Cricket Ground, Windhoek",Uganda,field,Uganda,0
2023-11-30,Nigeria,Namibia,"Wanderers Cricket Ground, Windhoek",Nigeria,bat,Namibia,0
2023-11-30,Zimbabwe,Kenya,"United Cricket Club Ground, Windhoek",Kenya,field,Zimbabwe,1
2023-12-01,India,Australia,"Shaheed Veer Narayan Singh International Stadium, Raipur",Australia,field,India,1
2023-12-03,India,Australia,"M Chinnaswamy Stadium, Bengaluru",Australia,field,India,1
2023-12-07,Ireland,Zimbabwe,Harare Sports Club,Zimbabwe,field,Zimbabwe,0
2023-12-09,Zimbabwe,Ireland,Harare Sports Club,Ireland,field,Ireland,0
2023-12-10,Zimbabwe,Ireland,Harare Sports Club,Ireland,field,Ireland,0
