date,team_1,team_2,venue,toss_winner,toss_decision,winner,target,bat_first_won,team1_last6_wins,team2_last6_wins,team1_h2h_last10,team2_h2h_last10,venue_bat_first_win_rate,team1_elo,team2_elo
2009-06-11,England,South Africa,Trent Bridge,England,bat,South Africa,0,0,4,4,0,1,0.4,972.7091165967923,1084.8527803139514
2009-06-11,Ireland,New Zealand,Trent Bridge,Ireland,field,New Zealand,0,1,2,4,0,0,0.4,1011.1576151161117,978.6455928839778
2009-06-12,Pakistan,Sri Lanka,Lord's,Sri Lanka,bat,Sri Lanka,0,1,4,3,2,1,0.5,1112.2417706987112,1058.3124615237064
2009-06-12,India,West Indies,Lord's,India,bat,West Indies,0,0,3,3,0,0,0.5,1068.1485520197668,986.0888483178804
2009-06-13,South Africa,West Indies,Kennington Oval,West Indies,field,South Africa,1,1,5,4,2,1,0.5,1098.6124942699844,1010.7266646295417
2009-06-13,New Zealand,Pakistan,Kennington Oval,New Zealand,bat,Pakistan,0,0,4,3,0,1,0.5,1000.5116915628852,1089.1620443420147
2009-06-14,Ireland,Sri Lanka,Lord's,Sri Lanka,bat,Sri Lanka,0,1,2,4,0,0,0.6,989.2915164372043,1081.3921878804028
2009-06-14,England,India,Lord's,India,field,England,1,1,3,3,0,1,0.6,958.9494026407594,1043.5107357081056
2009-06-15,England,West Indies,Kennington Oval,England,bat,West Indies,0,0,3,3,1,2,0.5,983.7232511831972,995.6805665240338
2009-06-15,Ireland,Pakistan,Kennington Oval,Pakistan,bat,Pakistan,0,1,2,3,0,0,0.5,974.4724649612577,1104.1668556358923
2009-06-16,India,South Africa,Trent Bridge,South Africa,bat,South Africa,0,1,2,6,2,0,0.42857142857142855,1018.7368871656678,1113.6585923754924
2009-06-16,New Zealand,Sri Lanka,Trent Bridge,Sri Lanka,bat,Sri Lanka,0,1,4,5,1,2,0.42857142857142855,985.5068802690075,1096.2112393563493
2009-06-18,Pakistan,South Africa,Trent Bridge,Pakistan,bat,Pakistan,1,1,4,6,0,0,0.5555555555555556,1117.029525866895,1128.326470778574
2009-06-19,Sri Lanka,West Indies,Kennington Oval,West Indies,field,Sri Lanka,1,1,5,4,1,0,0.5,1110.0458367251833,1014.9925197547902
2009-06-21,Pakistan,Sri Lanka,Lord's,Sri Lanka,bat,Pakistan,1,0,4,6,2,2,0.7142857142857143,1137.6796012116563,1124.706678163271
2009-08-02,West Indies,Bangladesh,"Warner Park, Basseterre",Bangladesh,bat,West Indies,1,0,3,0,0,1,0.5,1000.3316783167027,895.1470501832661
2009-08-12,Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,bat,Pakistan,0,1,5,5,2,3,0.5,1105.453112781451,1156.9331665934762
2009-09-02,Sri Lanka,New Zealand,R Premadasa Stadium,New Zealand,bat,New Zealand,0,1,4,3,3,1,0.5,1088.3950445042324,971.6722829001735
2009-09-04,Sri Lanka,New Zealand,R Premadasa Stadium,New Zealand,bat,New Zealand,0,1,3,3,3,2,0.5,1061.9178141448763,998.1495132595296
2009-11-12,New Zealand,Pakistan,Dubai International Cricket Stadium,New Zealand,field,Pakistan,0,1,3,5,0,2,0.5,1021.7796404056612,1173.9912348706948
2009-11-13,South Africa,England,New Wanderers Stadium,South Africa,field,England,0,1,5,2,2,0,0.4375,1107.6763954338128,964.4112979524408
2009-11-13,New Zealand,Pakistan,Dubai International Cricket Stadium,Pakistan,bat,Pakistan,0,1,3,6,0,3,0.5,1010.0210094582332,1185.749865818123
2009-11-15,South Africa,England,SuperSport Park,South Africa,bat,South Africa,1,1,4,3,2,1,0.5,1079.8670694707778,992.2206239154759
2009-12-09,India,Sri Lanka,"Vidarbha Cricket Association Stadium, Jamtha",India,field,Sri Lanka,0,1,2,2,1,0,0.5,1004.0690087625862,1038.2876869987447
2009-12-12,India,Sri Lanka,"Punjab Cricket Association Stadium, Mohali",Sri Lanka,bat,India,1,0,2,2,1,1,0.5,986.032449775591,1056.32424598574
2010-02-03,New Zealand,Bangladesh,Seddon Park,Bangladesh,bat,New Zealand,1,0,2,0,0,0,0.5,999.3541527181503,881.0235158993949
2010-02-05,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Australia,1,1,1,6,0,2,0.5,973.4674423301605,1196.4167225582057
2010-02-09,Canada,Netherlands,Dubai International Cricket Stadium,Canada,bat,Netherlands,0,0,0,2,0,0,0.5,1000.0,1020.1409026681389
2010-02-10,Canada,Kenya,Dubai International Cricket Stadium,Kenya,field,Kenya,0,0,0,0,0,0,0.5,981.1581065582349,913.8466791596643
2010-02-11,Ireland,Scotland,Dubai International Cricket Stadium,Ireland,bat,Ireland,1,1,2,1,0,0,0.4,961.6097947302551,948.4818003963586
2010-02-13,Ireland,Netherlands,Dubai International Cricket Stadium,Ireland,bat,Ireland,1,1,2,3,0,0,0.5,980.8544460743901,1038.982796109904
2010-02-19,England,Pakistan,Dubai International Cricket Stadium,Pakistan,bat,England,1,0,3,5,1,1,0.5714285714285714,977.16158899436,1165.0956088064422
2010-02-20,England,Pakistan,Dubai International Cricket Stadium,Pakistan,field,Pakistan,0,0,3,4,2,1,0.5,1007.0352336830675,1135.2219641177346
2010-02-21,Australia,West Indies,Bellerive Oval,Australia,bat,Australia,1,1,1,3,0,2,0.5,1004.7885560819241,1014.4552126005739
2010-02-23,Australia,West Indies,Sydney Cricket Ground,West Indies,bat,Australia,1,0,2,3,1,2,0.5,1025.3448700194813,993.8988986630166
2010-02-26,New Zealand,Australia,Westpac Stadium,New Zealand,bat,Australia,0,0,3,3,0,3,0.5,1012.7941981292657,1043.5396211438228
2010-02-28,West Indies,Zimbabwe,"Queen's Park Oval, Port of Spain",Zimbabwe,bat,Zimbabwe,0,1,2,1,0,0,0.5,975.7041475386749,997.7240934953094
2010-04-30,West Indies,Ireland,Providence Stadium,West Indies,bat,West Indies,1,1,2,2,0,0,0.5,956.9700230377812,1004.1697073200567
2010-04-30,New Zealand,Sri Lanka,Providence Stadium,Sri Lanka,bat,New Zealand,1,0,3,1,3,3,0.5,994.5594415288517,1032.332243478591
2010-05-01,Bangladesh,Pakistan,"Beausejour Stadium, Gros Islet",Pakistan,bat,Pakistan,0,1,0,4,0,3,0.5,867.5834704882794,1148.160486476575
2010-05-02,India,South Africa,"Beausejour Stadium, Gros Islet",South Africa,field,India,1,1,2,4,2,1,0.5,1010.02445228274,1094.9261043918937
2010-05-02,Australia,Pakistan,"Beausejour Stadium, Gros Islet",Australia,bat,Australia,1,1,4,4,1,2,0.5,1061.774377744237,1154.7955841178284
2010-05-03,West Indies,England,Providence Stadium,West Indies,field,West Indies,1,0,2,3,3,1,0.5,979.6704628772703,994.0967113242273
2010-05-03,Sri Lanka,Zimbabwe,Providence Stadium,Sri Lanka,bat,Sri Lanka,1,1,1,2,0,0,0.5,1010.1663927957607,1016.4582179962031
2010-05-04,New Zealand,Zimbabwe,Providence Stadium,New Zealand,field,New Zealand,1,0,3,2,0,0,0.5,1016.725292211682,996.0960710109148
2010-05-05,Australia,Bangladesh,"Kensington Oval, Bridgetown",Australia,bat,Australia,1,1,5,0,1,0,0.5,1087.0047265561523,860.9483728470261
2010-05-06,England,Pakistan,"Kensington Oval, Bridgetown",England,field,England,1,0,2,3,2,2,0.5,973.2667466299282,1129.5652353059131
2010-05-06,New Zealand,South Africa,"Kensington Oval, Bridgetown",South Africa,bat,South Africa,0,1,3,3,1,3,0.5,1035.5391723305945,1070.1337859762946
2010-05-07,West Indies,Sri Lanka,"Kensington Oval, Bridgetown",Sri Lanka,bat,Sri Lanka,0,1,3,2,0,2,0.5,1000.5004275715694,1030.528539781049
